,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000000,213,341,297,109,0.6993
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000060,244,287,313,145,0.48793
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000120,284,376,350,90,0.54469
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000180,203,173,305,138,0.37
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000240,509,104,123,141,0.797
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000300,33,419,33,30,0.20697
,,,,,
,,,,,
,,,,,
10_000300,431,401,201,65,0.82
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000360,101,86,105,250,0.0372
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000360,570,318,62,77,1.0302
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000360,272,437,52,28,0.33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000420,479,265,154,104,0.6579
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000480,222,271,323,111,0.26666
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000540,284,146,343,129,0.3311
,,,,,
,,,,,
10_000600,428,27,27,33,0.24
,,,,,
,,,,,
,,,,,
,,,,,
10_000600,453,171,49,52,0.12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000600,481,217,152,183,0.39
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000600,471,389,21,14,0.48475
10_000660,135,12,139,183,0.018675
,,,,,
,,,,,
,,,,,
10_000660,279,142,25,24,0.35
,,,,,
,,,,,
,,,,,
10_000660,465,195,49,28,0.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000660,34,272,227,140,0.479
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10_000720,495,183,34,37,0.13
,,,,,
,,,,,
10_000720,503,222,32,38,0.25
,,,,,
,,,,,
,,,,,
