0,
Precision,0.063209
Recall,0.70482
True Positives,117
False Positives,1734
False Negatives,49
  ,
0.05,
Precision,0.083582
Recall,0.6747
True Positives,112
False Positives,1228
False Negatives,54
  ,
0.1,
Precision,0.10707
Recall,0.60241
True Positives,100
False Positives,834
False Negatives,66
  ,
0.15,
Precision,0.1365
Recall,0.55422
True Positives,92
False Positives,582
False Negatives,74
  ,
0.2,
Precision,0.15735
Recall,0.45783
True Positives,76
False Positives,407
False Negatives,90
  ,
0.25,
Precision,0.16997
Recall,0.36145
True Positives,60
False Positives,293
False Negatives,106
  ,
0.3,
Precision,0.16988
Recall,0.26506
True Positives,44
False Positives,215
False Negatives,122
  ,
0.35,
Precision,0.14208
Recall,0.15663
True Positives,26
False Positives,157
False Negatives,140
  ,
0.4,
Precision,0.070313
Recall,0.054217
True Positives,9
False Positives,119
False Negatives,157
  ,
0.45,
Precision,0.023529
Recall,0.012048
True Positives,2
False Positives,83
False Negatives,164
  ,
0.5,
Precision,0.030769
Recall,0.012048
True Positives,2
False Positives,63
False Negatives,164
  ,
0.55,
Precision,0.019608
Recall,0.0060241
True Positives,1
False Positives,50
False Negatives,165
  ,
0.6,
Precision,0
Recall,0
True Positives,0
False Positives,33
False Negatives,166
  ,
0.65,
Precision,0
Recall,0
True Positives,0
False Positives,21
False Negatives,166
  ,
0.7,
Precision,0
Recall,0
True Positives,0
False Positives,15
False Negatives,166
  ,
0.75,
Precision,0
Recall,0
True Positives,0
False Positives,10
False Negatives,166
  ,
0.8,
Precision,0
Recall,0
True Positives,0
False Positives,4
False Negatives,166
  ,
0.85,
Precision,0
Recall,0
True Positives,0
False Positives,2
False Negatives,166
  ,
0.9,
Precision,0
Recall,0
True Positives,0
False Positives,1
False Negatives,166
  ,
