0,
Precision,0.1978
Recall,0.10843
True Positives,18
False Positives,73
False Negatives,148
  ,
0.05,
Precision,0.2
Recall,0.10241
True Positives,17
False Positives,68
False Negatives,149
  ,
0.1,
Precision,0.24561
Recall,0.084337
True Positives,14
False Positives,43
False Negatives,152
  ,
0.15,
Precision,0.16129
Recall,0.03012
True Positives,5
False Positives,26
False Negatives,161
  ,
0.2,
Precision,0.14286
Recall,0.018072
True Positives,3
False Positives,18
False Negatives,163
  ,
0.25,
Precision,0.071429
Recall,0.0060241
True Positives,1
False Positives,13
False Negatives,165
  ,
0.3,
Precision,0
Recall,0
True Positives,0
False Positives,9
False Negatives,166
  ,
0.35,
Precision,0
Recall,0
True Positives,0
False Positives,6
False Negatives,166
  ,
0.4,
Precision,0
Recall,0
True Positives,0
False Positives,5
False Negatives,166
  ,
0.45,
Precision,0
Recall,0
True Positives,0
False Positives,4
False Negatives,166
  ,
0.5,
Precision,0
Recall,0
True Positives,0
False Positives,3
False Negatives,166
  ,
0.55,
Precision,0
Recall,0
True Positives,0
False Positives,3
False Negatives,166
  ,
0.6,
Precision,0
Recall,0
True Positives,0
False Positives,1
False Negatives,166
  ,
0.65,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.7,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.75,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.8,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.85,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.9,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
