0,
Precision,0.1978
Recall,0.10843
True Positives,18
False Positives,73
False Negatives,148
  ,
0.05,
Precision,0.2
Recall,0.10843
True Positives,18
False Positives,72
False Negatives,148
  ,
0.1,
Precision,0.24324
Recall,0.10843
True Positives,18
False Positives,56
False Negatives,148
  ,
0.15,
Precision,0.2931
Recall,0.10241
True Positives,17
False Positives,41
False Negatives,149
  ,
0.2,
Precision,0.29412
Recall,0.090361
True Positives,15
False Positives,36
False Negatives,151
  ,
0.25,
Precision,0.27778
Recall,0.060241
True Positives,10
False Positives,26
False Negatives,156
  ,
0.3,
Precision,0.26923
Recall,0.042169
True Positives,7
False Positives,19
False Negatives,159
  ,
0.35,
Precision,0.22222
Recall,0.024096
True Positives,4
False Positives,14
False Negatives,162
  ,
0.4,
Precision,0.076923
Recall,0.0060241
True Positives,1
False Positives,12
False Negatives,165
  ,
0.45,
Precision,0.083333
Recall,0.0060241
True Positives,1
False Positives,11
False Negatives,165
  ,
0.5,
Precision,0.090909
Recall,0.0060241
True Positives,1
False Positives,10
False Negatives,165
  ,
0.55,
Precision,0.1
Recall,0.0060241
True Positives,1
False Positives,9
False Negatives,165
  ,
0.6,
Precision,0.16667
Recall,0.0060241
True Positives,1
False Positives,5
False Negatives,165
  ,
0.65,
Precision,0.33333
Recall,0.0060241
True Positives,1
False Positives,2
False Negatives,165
  ,
0.7,
Precision,0
Recall,0
True Positives,0
False Positives,2
False Negatives,166
  ,
0.75,
Precision,0
Recall,0
True Positives,0
False Positives,1
False Negatives,166
  ,
0.8,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.85,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.9,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
