0,
Precision,0.063209
Recall,0.70482
True Positives,117
False Positives,1734
False Negatives,49
  ,
0.05,
Precision,0.099174
Recall,0.6506
True Positives,108
False Positives,981
False Negatives,58
  ,
0.1,
Precision,0.14038
Recall,0.58434
True Positives,97
False Positives,594
False Negatives,69
  ,
0.15,
Precision,0.16667
Recall,0.50602
True Positives,84
False Positives,420
False Negatives,82
  ,
0.2,
Precision,0.19022
Recall,0.42169
True Positives,70
False Positives,298
False Negatives,96
  ,
0.25,
Precision,0.19421
Recall,0.28313
True Positives,47
False Positives,195
False Negatives,119
  ,
0.3,
Precision,0.16364
Recall,0.16265
True Positives,27
False Positives,138
False Negatives,139
  ,
0.35,
Precision,0.084746
Recall,0.060241
True Positives,10
False Positives,108
False Negatives,156
  ,
0.4,
Precision,0.055556
Recall,0.024096
True Positives,4
False Positives,68
False Negatives,162
  ,
0.45,
Precision,0.02
Recall,0.0060241
True Positives,1
False Positives,49
False Negatives,165
  ,
0.5,
Precision,0.032258
Recall,0.0060241
True Positives,1
False Positives,30
False Negatives,165
  ,
0.55,
Precision,0
Recall,0
True Positives,0
False Positives,24
False Negatives,166
  ,
0.6,
Precision,0
Recall,0
True Positives,0
False Positives,16
False Negatives,166
  ,
0.65,
Precision,0
Recall,0
True Positives,0
False Positives,9
False Negatives,166
  ,
0.7,
Precision,0
Recall,0
True Positives,0
False Positives,5
False Negatives,166
  ,
0.75,
Precision,0
Recall,0
True Positives,0
False Positives,2
False Negatives,166
  ,
0.8,
Precision,0
Recall,0
True Positives,0
False Positives,2
False Negatives,166
  ,
0.85,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.9,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
