0,
Precision,0.22691
Recall,0.51807
True Positives,86
False Positives,293
False Negatives,80
  ,
0.05,
Precision,0.29091
Recall,0.48193
True Positives,80
False Positives,195
False Negatives,86
  ,
0.1,
Precision,0.32727
Recall,0.43373
True Positives,72
False Positives,148
False Negatives,94
  ,
0.15,
Precision,0.34637
Recall,0.37349
True Positives,62
False Positives,117
False Negatives,104
  ,
0.2,
Precision,0.36364
Recall,0.31325
True Positives,52
False Positives,91
False Negatives,114
  ,
0.25,
Precision,0.38793
Recall,0.27108
True Positives,45
False Positives,71
False Negatives,121
  ,
0.3,
Precision,0.38636
Recall,0.20482
True Positives,34
False Positives,54
False Negatives,132
  ,
0.35,
Precision,0.44286
Recall,0.18675
True Positives,31
False Positives,39
False Negatives,135
  ,
0.4,
Precision,0.47273
Recall,0.15663
True Positives,26
False Positives,29
False Negatives,140
  ,
0.45,
Precision,0.4186
Recall,0.10843
True Positives,18
False Positives,25
False Negatives,148
  ,
0.5,
Precision,0.43243
Recall,0.096386
True Positives,16
False Positives,21
False Negatives,150
  ,
0.55,
Precision,0.5
Recall,0.096386
True Positives,16
False Positives,16
False Negatives,150
  ,
0.6,
Precision,0.56
Recall,0.084337
True Positives,14
False Positives,11
False Negatives,152
  ,
0.65,
Precision,0.65
Recall,0.078313
True Positives,13
False Positives,7
False Negatives,153
  ,
0.7,
Precision,0.72222
Recall,0.078313
True Positives,13
False Positives,5
False Negatives,153
  ,
0.75,
Precision,0.92857
Recall,0.078313
True Positives,13
False Positives,1
False Negatives,153
  ,
0.8,
Precision,1
Recall,0.054217
True Positives,9
False Positives,0
False Negatives,157
  ,
0.85,
Precision,1
Recall,0.024096
True Positives,4
False Positives,0
False Negatives,162
  ,
0.9,
Precision,1
Recall,0.0060241
True Positives,1
False Positives,0
False Negatives,165
  ,
