0,
Precision,0.22691
Recall,0.51807
True Positives,86
False Positives,293
False Negatives,80
  ,
0.05,
Precision,0.26384
Recall,0.48795
True Positives,81
False Positives,226
False Negatives,85
  ,
0.1,
Precision,0.30864
Recall,0.45181
True Positives,75
False Positives,168
False Negatives,91
  ,
0.15,
Precision,0.33824
Recall,0.41566
True Positives,69
False Positives,135
False Negatives,97
  ,
0.2,
Precision,0.33929
Recall,0.34337
True Positives,57
False Positives,111
False Negatives,109
  ,
0.25,
Precision,0.34307
Recall,0.28313
True Positives,47
False Positives,90
False Negatives,119
  ,
0.3,
Precision,0.37719
Recall,0.25904
True Positives,43
False Positives,71
False Negatives,123
  ,
0.35,
Precision,0.37363
Recall,0.20482
True Positives,34
False Positives,57
False Negatives,132
  ,
0.4,
Precision,0.4026
Recall,0.18675
True Positives,31
False Positives,46
False Negatives,135
  ,
0.45,
Precision,0.40678
Recall,0.14458
True Positives,24
False Positives,35
False Negatives,142
  ,
0.5,
Precision,0.3913
Recall,0.10843
True Positives,18
False Positives,28
False Negatives,148
  ,
0.55,
Precision,0.42105
Recall,0.096386
True Positives,16
False Positives,22
False Negatives,150
  ,
0.6,
Precision,0.5
Recall,0.096386
True Positives,16
False Positives,16
False Negatives,150
  ,
0.65,
Precision,0.55556
Recall,0.090361
True Positives,15
False Positives,12
False Negatives,151
  ,
0.7,
Precision,0.58333
Recall,0.084337
True Positives,14
False Positives,10
False Negatives,152
  ,
0.75,
Precision,0.65
Recall,0.078313
True Positives,13
False Positives,7
False Negatives,153
  ,
0.8,
Precision,0.8125
Recall,0.078313
True Positives,13
False Positives,3
False Negatives,153
  ,
0.85,
Precision,0.92857
Recall,0.078313
True Positives,13
False Positives,1
False Negatives,153
  ,
0.9,
Precision,1
Recall,0.048193
True Positives,8
False Positives,0
False Negatives,158
  ,
