0,
Precision,0.075697
Recall,0.22892
True Positives,38
False Positives,464
False Negatives,128
  ,
0.05,
Precision,0.097983
Recall,0.20482
True Positives,34
False Positives,313
False Negatives,132
  ,
0.1,
Precision,0.14159
Recall,0.19277
True Positives,32
False Positives,194
False Negatives,134
  ,
0.15,
Precision,0.17419
Recall,0.16265
True Positives,27
False Positives,128
False Negatives,139
  ,
0.2,
Precision,0.2069
Recall,0.14458
True Positives,24
False Positives,92
False Negatives,142
  ,
0.25,
Precision,0.23
Recall,0.13855
True Positives,23
False Positives,77
False Negatives,143
  ,
0.3,
Precision,0.25301
Recall,0.12651
True Positives,21
False Positives,62
False Negatives,145
  ,
0.35,
Precision,0.29851
Recall,0.12048
True Positives,20
False Positives,47
False Negatives,146
  ,
0.4,
Precision,0.27586
Recall,0.096386
True Positives,16
False Positives,42
False Negatives,150
  ,
0.45,
Precision,0.27083
Recall,0.078313
True Positives,13
False Positives,35
False Negatives,153
  ,
0.5,
Precision,0.28571
Recall,0.072289
True Positives,12
False Positives,30
False Negatives,154
  ,
0.55,
Precision,0.28125
Recall,0.054217
True Positives,9
False Positives,23
False Negatives,157
  ,
0.6,
Precision,0.26923
Recall,0.042169
True Positives,7
False Positives,19
False Negatives,159
  ,
0.65,
Precision,0.19048
Recall,0.024096
True Positives,4
False Positives,17
False Negatives,162
  ,
0.7,
Precision,0.16667
Recall,0.018072
True Positives,3
False Positives,15
False Negatives,163
  ,
0.75,
Precision,0.27273
Recall,0.018072
True Positives,3
False Positives,8
False Negatives,163
  ,
0.8,
Precision,0.5
Recall,0.018072
True Positives,3
False Positives,3
False Negatives,163
  ,
0.85,
Precision,0.5
Recall,0.0060241
True Positives,1
False Positives,1
False Negatives,165
  ,
0.9,
Precision,1
Recall,0.0060241
True Positives,1
False Positives,0
False Negatives,165
  ,
