0,
Precision,0.1978
Recall,0.10843
True Positives,18
False Positives,73
False Negatives,148
  ,
0.05,
Precision,0.1978
Recall,0.10843
True Positives,18
False Positives,73
False Negatives,148
  ,
0.1,
Precision,0.1978
Recall,0.10843
True Positives,18
False Positives,73
False Negatives,148
  ,
0.15,
Precision,0.23288
Recall,0.10241
True Positives,17
False Positives,56
False Negatives,149
  ,
0.2,
Precision,0.24242
Recall,0.096386
True Positives,16
False Positives,50
False Negatives,150
  ,
0.25,
Precision,0.28846
Recall,0.090361
True Positives,15
False Positives,37
False Negatives,151
  ,
0.3,
Precision,0.31818
Recall,0.084337
True Positives,14
False Positives,30
False Negatives,152
  ,
0.35,
Precision,0.25
Recall,0.048193
True Positives,8
False Positives,24
False Negatives,158
  ,
0.4,
Precision,0.18519
Recall,0.03012
True Positives,5
False Positives,22
False Negatives,161
  ,
0.45,
Precision,0.11765
Recall,0.012048
True Positives,2
False Positives,15
False Negatives,164
  ,
0.5,
Precision,0.071429
Recall,0.0060241
True Positives,1
False Positives,13
False Negatives,165
  ,
0.55,
Precision,0.076923
Recall,0.0060241
True Positives,1
False Positives,12
False Negatives,165
  ,
0.6,
Precision,0.076923
Recall,0.0060241
True Positives,1
False Positives,12
False Negatives,165
  ,
0.65,
Precision,0.11111
Recall,0.0060241
True Positives,1
False Positives,8
False Negatives,165
  ,
0.7,
Precision,0.11111
Recall,0.0060241
True Positives,1
False Positives,8
False Negatives,165
  ,
0.75,
Precision,0.14286
Recall,0.0060241
True Positives,1
False Positives,6
False Negatives,165
  ,
0.8,
Precision,0
Recall,0
True Positives,0
False Positives,5
False Negatives,166
  ,
0.85,
Precision,0
Recall,0
True Positives,0
False Positives,4
False Negatives,166
  ,
0.9,
Precision,0
Recall,0
True Positives,0
False Positives,4
False Negatives,166
  ,
