0,
Precision,0.20833
Recall,0.090361
True Positives,15
False Positives,57
False Negatives,151
  ,
0.05,
Precision,0.28947
Recall,0.066265
True Positives,11
False Positives,27
False Negatives,155
  ,
0.1,
Precision,0.30769
Recall,0.048193
True Positives,8
False Positives,18
False Negatives,158
  ,
0.15,
Precision,0.42105
Recall,0.048193
True Positives,8
False Positives,11
False Negatives,158
  ,
0.2,
Precision,0.46154
Recall,0.036145
True Positives,6
False Positives,7
False Negatives,160
  ,
0.25,
Precision,0.44444
Recall,0.024096
True Positives,4
False Positives,5
False Negatives,162
  ,
0.3,
Precision,0.4
Recall,0.012048
True Positives,2
False Positives,3
False Negatives,164
  ,
0.35,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.4,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.45,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.5,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.55,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.6,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.65,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.7,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.75,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.8,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.85,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
0.9,
Precision,NaN
Recall,0
True Positives,0
False Positives,0
False Negatives,166
  ,
